2,1000
419756993.776282,-732347356.596679,7131859.400000
85215110.399567,13911560.166027,7163416.300000
401820280.512821,-746343106.700788,7163416.300000
85835952.445009,14077091.476400,7194973.200000
383640434.700208,-759797628.401645,7194973.200000
86459562.558314,14235975.906969,7226530.100000
365235598.044224,-772711886.219213,7226530.100000
87085723.472820,14388231.825603,7258087.000000
346623430.158618,-785087373.108852,7258087.000000
87714223.891514,14533883.633463,7289643.900000
327821105.439270,-796926072.417302,7289643.900000
88344858.500629,14672961.316895,7321200.800000
308845311.958820,-808230421.459311,7321200.800000
88977427.960958,14805500.019557,7352757.700000
289712252.172776,-819003276.740694,7352757.700000
89611738.879300,14931539.634949,7384314.600000
270437645.240257,-829247880.837875,7384314.600000
90247603.762315,15051124.419257,7415871.500000
251036730.774958,-838967830.930368,7415871.500000
90884840.954892,15164302.624363,7447428.400000
231524273.854388,-848167048.971002,7447428.400000
91523274.565005,15271126.150688,7478985.300000
211914571.127840,-856849753.468857,7478985.300000
92162734.376859,15371650.219469,7510542.200000
192221457.875687,-865020432.851684,7510542.200000
92803055.754007,15465933.063976,7542099.100000
172458315.884405,-872683820.367812,7542099.100000
93444079.533955,15554035.639112,7573656.000000
152638082.013096,-879844870.482202,7573656.000000
94085651.915654,15636021.348788,7605212.900000
132773257.338142,-886508736.716994,7605212.900000
94727624.341148,15711955.790411,7636769.800000
112875916.772970,-892680750.883777,7636769.800000
95369853.372523,15781906.515829,7668326.700000
92957719.069634,-898366403.652452,7668326.700000
96012200.565200,15845942.808011,7699883.600000
73029917.118116,-903571326.400109,7699883.600000
96654532.338481,15904135.472780,7731440.500000
53103368.467788,-908301274.282500,7731440.500000
97296719.844208,15956556.644870,7762997.400000
33188546.003482,-912562110.470448,7762997.400000
97938638.834250,16003279.607615,7794554.300000
13295548.715979,-916359791.493812,7794554.300000
98580169.527488,16044378.625559,7826111.200000
-6565887.486410,-919700353.636268,7826111.200000
99221196.476874,16079928.789321,7857668.100000
-26386378.972239,-922589900.325204,7857668.100000
99861608.437072,16110005.872018,7889225.000000
-46156883.628595,-925034590.462310,7889225.000000
100501298.233119,16134686.196624,7920781.900000
-65868690.186063,-927040627.641933,7920781.900000
101140162.630505,16154046.513613,7952338.800000
-85513407.658221,-928614250.205990,7952338.800000
101778102.206981,16168163.888288,7983895.700000
-105082954.922545,-929761722.086028,7983895.700000
102415021.226397,16177115.597211,8015452.600000
-124569550.465639,-930489324.384922,8015452.600000
103050827.514797,16180979.033174,8047009.500000
-143965702.312165,-930803347.652704,8047009.500000
103685432.338972,16179831.618170,8078566.400000
-163264198.153620,-930710084.813001,8078566.400000
104318750.287637,16173750.723864,8110123.300000
